,Unnamed: 0_x,filename,file_size,pixels,prompt_0,prompt_1,prompt_2,prompt_3,prompt_4,prompt_5,prompt_6,prompt_7,Unnamed: 0_y,caption,score,compress_rat,scores
0,0,3_1534929690548387841.png,37611,38025,no,yes,no,yes,no,no,plant,no,0,"a black vinyl record with the words,'the paradise boys'on it",0.9999337196350098,8.088059344340751,mb
1,1,3_1466060138289283079.png,51908,28575,no,no,no,no,yes,no,plant,yes,1,a sun on a blue background,0.9996335506439208,4.403945441935733,y
2,2,3_1369287194674921475.png,59488,46125,yes,yes,no,no,no,no,plant,yes,2,two birds sitting on top of a tree,0.0001753776450641,6.202931683700914,y
3,3,3_1330890143285325824.png,54465,35775,yes,no,yes,yes,yes,no,plant,no,3,a woman carrying a bunch of flowers,0.3507008552551269,5.254750757367116,n
4,4,3_1479278620615000066.png,50258,49725,no,no,no,no,no,yes,plant,yes,4,a cell phone on a table,0.3103492259979248,7.9151577858251425,n
5,5,3_1373659595336347648.png,48292,28575,no,yes,yes,yes,no,no,plants,no,5,a group of men walking down the street,0.924053966999054,4.73370330489522,mb
6,6,3_1369647875236524037.png,40210,28575,no,no,yes,yes,no,no,plant,no,6,a woman,0.3716796338558197,5.685152947028103,n
7,7,3_1546576817133322240.png,61907,37350,no,no,no,no,yes,no,flowers,no,7,some flowers on a pink background,0.985732913017273,4.826594730805886,y
8,8,3_1523753379142545408.png,81952,38025,no,no,no,yes,no,no,trees,no,8,a group of people in front of a cherry tree,0.9992719292640686,3.7119289340101522,y
9,9,3_1503521063921238022.png,37705,33075,no,no,yes,yes,yes,no,plant,yes,9,a man sitting on a bench,0.1667454242706298,7.017636918180613,n
10,10,3_1253747899554463749.png,58857,38025,yes,no,no,no,no,no,plants,yes,10,an american flag on a building,0.6221739649772644,5.168459146745501,mb
11,11,3_1445386987104526342.png,55950,50625,no,no,yes,yes,no,no,plant,no,11,a woman's head,0.6718689203262329,7.238605898123325,mb
12,12,3_1440043420798513157.png,51908,28575,no,no,no,no,yes,no,plant,yes,12,a sun on a blue background,0.9996335506439208,4.403945441935733,y
13,13,3_1546464390618255360.png,33646,27900,no,yes,no,no,no,no,plant,yes,13,a music player on a cd,0.9866543412208556,6.633775188729715,mb
14,14,3_1357724944050909186.png,33585,28575,no,no,no,no,no,no,plant,no,14,a bunch of different colored circles,0.574643611907959,6.806610093791871,mb
15,15,3_1511033111093600256.png,54628,33975,no,yes,no,yes,no,yes,plant,yes,15,a man singing into a microphone,0.5115277767181396,4.9754704547118696,n
16,16,3_1366403285192744966.png,50315,38925,yes,no,no,yes,yes,yes,plant,no,16,a woman wearing a hat,0.617690920829773,6.189009241776806,y
17,17,3_1229805710919159808.png,51282,38025,yes,yes,no,yes,no,no,plant,yes,17,a white building with a blue sky in the background,0.9798046350479126,5.9319059319059315,y
18,18,3_1532450469963911168.png,33235,40725,yes,no,yes,yes,no,no,plant,yes,18,a woman holding up a drawing,0.9974881410598756,9.802918609899203,mb
